place_id,name,address,lat,lng,website,formatted_address,formatted_phone_number
ChIJ09tnI9oNiYgROQonkNyqP2w,Pet Supplies Plus Trussville,"1672 Gadsden Hwy, Birmingham, AL 35235, United States",33.6022814,-86.6393527,https://www.petsuppliesplus.com/store/al/birmingham/4357-birmingham/4357,"1672 Gadsden Hwy, Birmingham, AL 35235, USA",(205) 582-1488
ChIJvZKHls2piIgRsDRCY2-zMXk,Pet Supplies Plus Tuscaloosa,"2600 McFarland Blvd E Suite U, Tuscaloosa, AL 35405, United States",33.1866961,-87.5294143,https://www.petsuppliesplus.com/Store/AL/Tuscaloosa/Tuscaloosa/8020,"2600 McFarland Blvd E Suite U, Tuscaloosa, AL 35405, USA",(205) 345-1212
ChIJFcmOXjUZiYgRMXtszRGbhDU,Pet Supplies Plus Homewood,"421 Green Springs Hwy, Homewood, AL 35209, United States",33.4648372,-86.8195165,https://www.petsuppliesplus.com/Store/AL/Homewood/Homewood/8028,"421 Green Springs Hwy, Homewood, AL 35209, USA",(205) 942-6462
ChIJuUaQ5oxlYogRqsAtJZ36IKk,Pet Supplies Plus Madison,"4577 Wall Triana Hwy SUITE G, Madison, AL 35758, United States",34.7070199,-86.7488445,https://www.petsuppliesplus.com/store/al/madison/4119-madison/4119,"4577 Wall Triana Hwy SUITE G, Madison, AL 35758, USA",(256) 325-0125
ChIJna3QeJ-LYogRWU8c-IhSDtc,Pet Supplies Plus Athens,"22069 US-72 Ste 1, Athens, AL 35613, United States",34.783672,-86.9286448,https://www.petsuppliesplus.com/store/al/athens/4547-athens/4547,"22069 US-72 Ste 1, Athens, AL 35613, USA",(256) 232-0960
ChIJ4emXK-VtYogROi1UEImAjOg,Pet Supplies Plus Huntsville Midtown,"2900 Memorial Pkwy SW Ste B, Huntsville, AL 35801, United States",34.7062998,-86.5906216,https://www.petsuppliesplus.com/store/al/huntsville/4212-huntsville/4212,"2900 Memorial Pkwy SW Ste B, Huntsville, AL 35801, USA",(256) 517-8352
ChIJZ4qDs9LzjIgRea9DxKAZYwo,Pet Supplies Plus Auburn,"1716 Opelika Rd Ste 10, Auburn, AL 36830, United States",32.6247302,-85.4436699,https://www.petsuppliesplus.com/store/al/auburn/4519-auburn/4519,"1716 Opelika Rd Ste 10, Auburn, AL 36830, USA",(334) 457-4366
ChIJc5RwwrMjiYgRbnQsmTMRC1Q,Pet Supplies Plus Pelham,"1928 Montgomery Hwy, Hoover, AL 35244, United States",33.347603,-86.796888,https://www.petsuppliesplus.com/Store/AL/Pelham/Pelham/8015,"1928 Montgomery Hwy, Hoover, AL 35244, USA",(205) 978-9788
ChIJMa7b2eqym4gRv0eFM5Eyc9c,Pet Supplies Plus Mobile,"803 Hillcrest Rd, Mobile, AL 36695, United States",30.675863,-88.189738,https://www.petsuppliesplus.com/Store/AL/Mobile/Mobile/8017,"803 Hillcrest Rd, Mobile, AL 36695, USA",(251) 343-9702
ChIJx4vhX9NJfYgRqOVZ6Us_PLE,Pet Supplies Plus Florence,"244 Seville St, Florence, AL 35630, United States",34.8339701,-87.627719,https://www.petsuppliesplus.com/store/al/florence/4546-florence/4546,"244 Seville St, Florence, AL 35630, USA",(256) 760-7000
ChIJWZ84WCrLiYgRSmIm1nbY1Mg,Pet Supplies Plus Cullman,"1311 2nd Ave SW Unit D, Cullman, AL 35055, United States",34.1634482,-86.8374739,https://www.petsuppliesplus.com/store/al/cullman/4548-cullman/4548,"1311 2nd Ave SW Unit D, Cullman, AL 35055, USA",(256) 736-9940
ChIJC7YtmbDpYYgRPiNur-NGsFw,Pet Supplies Plus Scottsboro,"24540 John T Reid Pkwy Ste A, Scottsboro, AL 35768, United States",34.6660128,-86.0152219,https://www.petsuppliesplus.com/store/al/scottsboro/4555-scottsboro/4555,"24540 John T Reid Pkwy Ste A, Scottsboro, AL 35768, USA",(256) 805-8242
ChIJaREmWzFPfYgRV338-NNi2yM,Pet Supplies Plus Muscle Shoals,"519 W Avalon Ave, Muscle Shoals, AL 35661, United States",34.7462212,-87.6718288,https://www.petsuppliesplus.com/store/al/muscle-shoals/4549-muscle-shoals/4549,"519 W Avalon Ave, Muscle Shoals, AL 35661, USA",(256) 383-4320
